country,count
United States,3297
India,990
United Kingdom,723
Canada,412
France,349
Japan,287
Spain,215
South Korea,212
Germany,199
Mexico,154
China,147
Australia,144
Egypt,110
Turkey,108
Hong Kong,102
Italy,90
Brazil,88
Taiwan,85
Belgium,85
Argentina,82
Indonesia,80
Philippines,78
Nigeria,76
Thailand,65
South Africa,54
Colombia,45
Netherlands,45
Denmark,44
Ireland,40
Singapore,39
Sweden,39
Poland,36
United Arab Emirates,34
Norway,29
New Zealand,28
Russia,27
Malaysia,26
Lebanon,26
Chile,26
Israel,26
Pakistan,24
Czech Republic,20
Switzerland,17
Uruguay,14
Romania,12
Austria,11
Finland,11
Luxembourg,11
Greece,10
Peru,10
Saudi Arabia,10
Hungary,9
Bulgaria,9
Iceland,9
Jordan,8
Kuwait,7
Serbia,7
Qatar,7
Morocco,6
Vietnam,5
Kenya,5
West Germany,5
Cambodia,5
Croatia,4
Portugal,4
,4
Ghana,4
Iran,4
Bangladesh,3
Slovenia,3
Venezuela,3
Ukraine,3
Soviet Union,3
Zimbabwe,3
Senegal,3
Malta,3
Cayman Islands,2
Georgia,2
Nepal,2
Algeria,2
Namibia,2
Iraq,2
Guatemala,2
Angola,1
East Germany,1
Jamaica,1
Belarus,1
Cyprus,1
Kazakhstan,1
Panama,1
Uganda,1
Malawi,1
Slovakia,1
Sudan,1
Somalia,1
Lithuania,1
Afghanistan,1
Paraguay,1
Vatican City,1
Nicaragua,1
Puerto Rico,1
Botswana,1
Mauritius,1
Armenia,1
Mongolia,1
Syria,1
Bahamas,1
Sri Lanka,1
Latvia,1
Liechtenstein,1
Albania,1
Cuba,1
Dominican Republic,1
Samoa,1
Azerbaijan,1
Bermuda,1
Ecuador,1
Montenegro,1
